FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE/GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3016,Code Enforcement,4272,Strategic Task Force,T 17,44,2151,Supervising Building/Construction Inspector,Annual,1,1,145800.00,145800
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3016,Code Enforcement,4272,Strategic Task Force,T 17,44,2151,Supervising Building/Construction Inspector,Annual,1,1,126816.00,126816
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3016,Code Enforcement,4272,Strategic Task Force,T 16,44,2150,Building/Construction Inspector,Annual,1,1,152712.00,152712
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3016,Code Enforcement,4272,Strategic Task Force,T 16,44,2150,Building/Construction Inspector,Annual,2,1,132888.00,265776
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3016,Code Enforcement,4272,Strategic Task Force,T 16,44,2150,Building/Construction Inspector,Annual,1,1,115584.00,115584
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3016,Code Enforcement,4272,Strategic Task Force,T 16,44,2150,Building/Construction Inspector,Annual,1,1,109212.00,109212
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3016,Code Enforcement,4272,Strategic Task Force,T 16,44,2150,Building/Construction Inspector,Annual,1,1,90744.00,90744
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3016,Code Enforcement,4272,Strategic Task Force,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,12810.00,12810
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3017,Code Compliance,0,,X 33,0,2120,Manager of Regulatory Review,Annual,1,1,148920.00,148920
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3017,Code Compliance,0,,B 13,1,0308,Staff Assistant,Annual,1,1,105408.00,105408
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3017,Code Compliance,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,2898.00,2898
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4076,New Construction Inspection,T 17,44,2151,Supervising Building/Construction Inspector,Annual,2,1,167544.00,335088
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4076,New Construction Inspection,T 16,44,2150,Building/Construction Inspector,Annual,3,1,152712.00,458136
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4076,New Construction Inspection,T 16,44,2150,Building/Construction Inspector,Annual,4,1,145800.00,583200
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4076,New Construction Inspection,T 16,44,2150,Building/Construction Inspector,Annual,2,1,139176.00,278352
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4076,New Construction Inspection,T 16,44,2150,Building/Construction Inspector,Annual,2,1,121104.00,242208
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4076,New Construction Inspection,T 16,44,2150,Building/Construction Inspector,Annual,3,1,115584.00,346752
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4076,New Construction Inspection,T 16,44,2150,Building/Construction Inspector,Annual,1,1,95076.00,95076
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4076,New Construction Inspection,T 16,44,2150,Building/Construction Inspector,Annual,3,1,90744.00,272232
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4076,New Construction Inspection,B 15,1,1302,Administrative Services Officer II,Annual,1,1,139224.00,139224
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4076,New Construction Inspection,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,24413.00,24413
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4077,Special Inspections Program (PPA),T 17,44,2151,Supervising Building/Construction Inspector,Annual,1,1,145800.00,145800
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4077,Special Inspections Program (PPA),T 16,44,2150,Building/Construction Inspector,Annual,1,1,132888.00,132888
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4077,Special Inspections Program (PPA),T 16,44,2150,Building/Construction Inspector,Annual,1,1,115584.00,115584
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4077,Special Inspections Program (PPA),T 16,44,2150,Building/Construction Inspector,Annual,1,1,99552.00,99552
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4077,Special Inspections Program (PPA),1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,7916.00,7916
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4085,Electrical Code Compliance Inspection,3 00,20,5156,Chief Electrical Inspector,Annual,1,1,127584.00,127584
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4085,Electrical Code Compliance Inspection,2 0,32,5153,Supervisor of Electrical Inspectors,Monthly,2,1,10972.86,263349
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4085,Electrical Code Compliance Inspection,2 0,32,5151,Electrical Inspector,Monthly,25,1,10591.53,3177459
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4085,Electrical Code Compliance Inspection,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,51612.00,51612
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4090,Elevator Code Compliance Inspection,2 0,43,2138,Assistant Chief Elevator Inspector,Monthly,1,1,14055.60,168667
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4090,Elevator Code Compliance Inspection,2 0,43,2137,Elevator Inspector,Monthly,12,1,13228.80,1904947
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4090,Elevator Code Compliance Inspection,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,31104.00,31104
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4095,Mechanical Equipment Inspection,X 33,9,2188,Chief Ventilation and Mechanical Equipment Inspector,Annual,1,1,133524.00,133524
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4095,Mechanical Equipment Inspection,2 0,41,2184,Ventilation and Furnace Inspector,Monthly,11,1,9930.27,1310796
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4095,Mechanical Equipment Inspection,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,19662.00,19662
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4096,Refrigeration Inspections,2 0,14,2136,Supervising Cooling Plant Inspector,Monthly,1,1,10400.00,124800
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4096,Refrigeration Inspections,2 0,14,2135,Cooling Plant Inspector,Monthly,9,1,10053.33,1085760
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4096,Refrigeration Inspections,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,18158.00,18158
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4100,Boiler Inspections,2 0,24,2105,Boiler Inspector,Monthly,6,1,10032.53,722342
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4100,Boiler Inspections,2 0,24,2101,Chief Boiler Inspector,Monthly,1,1,11024.00,132288
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4100,Boiler Inspections,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,12819.00,12819
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4105,Iron Inspections,2 0,46,2164,Iron Inspector,Monthly,3,1,10878.40,391622
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4105,Iron Inspections,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,5874.00,5874
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4115,Construction Equipment Inspection,2 0,42,7610,Construction Equipment Inspector,Monthly,5,1,11232.00,673920
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3025,Technical Inspections,4115,Construction Equipment Inspection,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,10109.00,10109
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3040,Small Projects,4037,Short Forms,X 32,9,9679,Deputy Commissioner,Annual,1,1,152748.00,152748
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3040,Small Projects,4037,Short Forms,G 08,4,5404,Architect IV,Annual,1,1,137436.00,137436
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3040,Small Projects,4037,Short Forms,2 0,32,5151,Electrical Inspector,Monthly,1,1,10591.53,127098
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3040,Small Projects,4037,Short Forms,B 16,3,2131,Coordinator of Special Projects - Buildings,Annual,1,1,139224.00,139224
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3040,Small Projects,4037,Short Forms,B 10,1,03A7,Administrative Assistant,Annual,2,1,87516.00,175032
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3040,Small Projects,4037,Short Forms,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,6020.00,6020
LOCAL,67,Department of Buildings,0100,Corporate Fund,1005,Department of Buildings,2005,Department of Buildings,3040,Small Projects,4037,Short Forms,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,1906.00,1906
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3005,Administration,4005,Management,1 00,9,9970,Commissioner of Business Affairs and Consumer Protection,Annual,1,1,191772.00,191772
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3005,Administration,4005,Management,X 31,9,9813,Managing Deputy Commissioner,Annual,1,1,145092.00,145092
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3005,Administration,4005,Management,X 31,9,9660,First Deputy Commissioner,Annual,1,1,175068.00,175068
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3005,Administration,4005,Management,BX 17,10,1651,Office Administrator,Annual,1,1,82644.00,82644
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3005,Administration,4005,Management,BX 16,10,1430,Policy Analyst,Annual,1,1,80628.00,80628
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3005,Administration,4005,Management,BX 16,10,0802,Executive Administrative Assistant II,Annual,1,1,115488.00,115488
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3005,Administration,4005,Management,G 08,4,0604,Senior Systems Programmer,Annual,1,1,137436.00,137436
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3005,Administration,4005,Management,B 12,1,03A8,Senior Administrative Assistant,Annual,1,1,65640.00,65640
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3005,Administration,4005,Management,X 33,9,0313,Assistant Commissioner,Annual,1,1,133524.00,133524
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3005,Administration,4005,Management,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,33762.00,33762
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3005,Administration,4009,Finance and Payroll,G 07,3,2989,Grants Research Specialist,Annual,1,1,94644.00,94644
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3005,Administration,4009,Finance and Payroll,BX 16,20,1304,Supervisor of Personnel Services,Annual,1,1,120960.00,120960
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3005,Administration,4009,Finance and Payroll,B 13,1,1301,Administrative Services Officer I,Annual,1,1,115632.00,115632
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3005,Administration,4009,Finance and Payroll,BX 18,20,0394,Administrative Manager,Annual,1,1,86520.00,86520
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3005,Administration,4009,Finance and Payroll,X 33,9,0313,Assistant Commissioner,Annual,1,1,133524.00,133524
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3005,Administration,4009,Finance and Payroll,B 13,4,0110,Accountant,Annual,1,1,115632.00,115632
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3005,Administration,4009,Finance and Payroll,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,7327.00,7327
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3011,Intergovernmental Affairs and Special Projects,0,,B 14,1,0712,Senior Public Information Officer,Annual,1,1,115632.00,115632
LOCAL,88,Department of Water Management,0200,Water Fund,1005,Commissioner's Office,2005,Commissioner's Office,3003,Agency Management,0,,X 41,9,9663,First Deputy Commissioner,Annual,1,1,199224.00,199224
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3011,Intergovernmental Affairs and Special Projects,0,,B 12,1,03A8,Senior Administrative Assistant,Annual,1,1,87516.00,87516
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3011,Intergovernmental Affairs and Special Projects,0,,X 33,9,0313,Assistant Commissioner,Annual,1,1,133524.00,133524
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3011,Intergovernmental Affairs and Special Projects,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,8647.00,8647
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3012,Small Business Advocacy,0,,BX 18,10,3092,Program Director,Annual,1,1,94992.00,94992
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3012,Small Business Advocacy,0,,B 14,4,1912,Project Coordinator,Annual,1,1,105408.00,105408
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3012,Small Business Advocacy,0,,B 14,4,1912,Project Coordinator,Annual,3,1,73140.00,219420
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3012,Small Business Advocacy,0,,X 33,9,0313,Assistant Commissioner,Annual,1,1,118128.00,118128
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3012,Small Business Advocacy,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,9482.00,9482
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3013,Small Business Center,4041,Assistance and Licensing,X 32,9,9679,Deputy Commissioner,Annual,1,1,152748.00,152748
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3013,Small Business Center,4041,Assistance and Licensing,B 14,1,9003,Criminal History Analyst,Annual,1,1,126864.00,126864
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3013,Small Business Center,4041,Assistance and Licensing,B 14,1,9003,Criminal History Analyst,Annual,1,1,110316.00,110316
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3013,Small Business Center,4041,Assistance and Licensing,B 14,4,1912,Project Coordinator,Annual,2,1,73140.00,146280
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3013,Small Business Center,4041,Assistance and Licensing,BX 17,10,0352,Business Consultant Supervisor,Annual,1,1,94992.00,94992
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3013,Small Business Center,4041,Assistance and Licensing,BX 17,10,0352,Business Consultant Supervisor,Annual,2,1,86520.00,173040
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3013,Small Business Center,4041,Assistance and Licensing,B 14,1,0351,Senior Business Consultant,Annual,4,1,110316.00,441264
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3013,Small Business Center,4041,Assistance and Licensing,B 14,1,0351,Senior Business Consultant,Annual,1,1,82716.00,82716
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3013,Small Business Center,4041,Assistance and Licensing,B 13,1,0350,Business Consultant,Annual,1,1,75384.00,75384
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3013,Small Business Center,4041,Assistance and Licensing,B 13,1,0350,Business Consultant,Annual,6,1,72012.00,432072
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3013,Small Business Center,4041,Assistance and Licensing,X 33,9,0313,Assistant Commissioner,Annual,2,1,133524.00,267048
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3013,Small Business Center,4041,Assistance and Licensing,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,25617.00,25617
LOCAL,88,Department of Water Management,0200,Water Fund,1005,Commissioner's Office,2005,Commissioner's Office,3003,Agency Management,0,,X 43,0,03A2,Assistant Commissioner,Annual,1,1,129936.00,129936
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3013,Small Business Center,4042,Operations Support,B 12,1,03A8,Senior Administrative Assistant,Annual,2,1,105408.00,210816
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3013,Small Business Center,4042,Operations Support,BX 17,10,0352,Business Consultant Supervisor,Annual,1,1,86520.00,86520
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3013,Small Business Center,4042,Operations Support,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,2933.00,2933
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3013,Small Business Center,4043,Public Way Use,B 12,1,03A8,Senior Administrative Assistant,Annual,1,1,91704.00,91704
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3013,Small Business Center,4043,Public Way Use,B 12,1,03A8,Senior Administrative Assistant,Annual,1,1,62604.00,62604
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3013,Small Business Center,4043,Public Way Use,BX 17,10,0352,Business Consultant Supervisor,Annual,1,1,82644.00,82644
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3013,Small Business Center,4043,Public Way Use,B 13,1,0350,Business Consultant,Annual,1,1,72012.00,72012
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3013,Small Business Center,4043,Public Way Use,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,6468.00,6468
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3018,Public Vehicle Licenses and Permits,4024,Public Vehicle Operations,X 32,9,9679,Deputy Commissioner,Annual,1,1,152748.00,152748
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3018,Public Vehicle Licenses and Permits,4024,Public Vehicle Operations,B 14,1,9003,Criminal History Analyst,Annual,1,1,73140.00,73140
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3018,Public Vehicle Licenses and Permits,4024,Public Vehicle Operations,BX 18,10,3092,Program Director,Annual,1,1,145704.00,145704
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3018,Public Vehicle Licenses and Permits,4024,Public Vehicle Operations,BX 15,10,1911,Project Coordinator-Excluded,Annual,1,1,74244.00,74244
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3018,Public Vehicle Licenses and Permits,4024,Public Vehicle Operations,BX 15,10,1911,Project Coordinator-Excluded,Annual,1,1,67656.00,67656
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3018,Public Vehicle Licenses and Permits,4024,Public Vehicle Operations,X 33,9,0313,Assistant Commissioner,Annual,1,1,133524.00,133524
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3018,Public Vehicle Licenses and Permits,4024,Public Vehicle Operations,B 13,1,0308,Staff Assistant,Annual,1,1,100596.00,100596
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3018,Public Vehicle Licenses and Permits,4024,Public Vehicle Operations,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,17651.00,17651
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3018,Public Vehicle Licenses and Permits,4025,Medallion Licensing,B 12,1,03A8,Senior Administrative Assistant,Annual,2,1,65640.00,131280
LOCAL,70,Department of Business Affairs and Consumer Protection,0100,Corporate Fund,1005,Department of Business Affairs and Consumer Protection,2005,Department of Business Affairs and Consumer Protection,3018,Public Vehicle Licenses and Permits,4025,Medallion Licensing,B 12,1,03A8,Senior Administrative Assistant,Annual,1,1,60720.00,60720
